Combination,model__n_estimators,model__max_depth,model__min_samples_leaf,model__max_features,model__class_weight,Mean_CV_PR_AUC,Std_CV_PR_AUC,Mean_CV_ROC_AUC,Valid_Folds
23,300,6.0,10,0.7,balanced,0.12230981803983146,0.10019013234958372,0.5362596450051214,4
24,500,6.0,10,0.7,balanced,0.12224399210670826,0.09944935732518526,0.5324748768658897,4
20,500,6.0,3,0.7,balanced,0.12220449810683032,0.10002022708997027,0.5513005811114451,4
90,500,,10,sqrt,balanced_subsample,0.12220097893550874,0.10430038136555095,0.5457079682548192,4
38,500,,3,sqrt,balanced,0.12219000142492908,0.10241126690754618,0.5368027196242674,4
42,500,,10,sqrt,balanced,0.12213098936700376,0.10796017747110609,0.5452197237086758,4
22,500,6.0,5,0.7,balanced,0.12178258642240647,0.09927463304938526,0.5425740422978648,4
89,300,,10,sqrt,balanced_subsample,0.12152915733072964,0.10571125523953596,0.541007544683438,4
88,500,,5,sqrt,balanced_subsample,0.1215127013861006,0.1018212096594573,0.5460161315821146,4
31,300,8.0,3,0.7,balanced,0.12144494176737677,0.09570117828280555,0.5623705226658869,4
85,300,,3,sqrt,balanced_subsample,0.12139847389181274,0.10203917081418312,0.5498765554568678,4
67,300,6.0,3,0.7,balanced_subsample,0.12106108922148047,0.10064407356879054,0.5579327865750541,4
69,300,6.0,5,0.7,balanced_subsample,0.1209777149371338,0.10068008281909847,0.544462601865681,4
19,300,6.0,3,0.7,balanced,0.12072942470187456,0.09891939892598833,0.5567067668768956,4
34,500,8.0,5,0.7,balanced,0.12070713344264626,0.09565661276279766,0.5465263114400998,4
72,500,6.0,10,0.7,balanced_subsample,0.1204530099475576,0.10016317986221643,0.5313875056854388,4
82,500,8.0,5,0.7,balanced_subsample,0.1200948472578856,0.0982241329302889,0.5417636289826434,4
41,300,,10,sqrt,balanced,0.11992320487121097,0.10771762004439012,0.536428835256409,4
21,300,6.0,5,0.7,balanced,0.1199000017597792,0.0995123204708945,0.5440508137772232,4
59,300,4.0,10,0.7,balanced_subsample,0.11970620412530449,0.10070267487714826,0.545316276085141,4
71,300,6.0,10,0.7,balanced_subsample,0.11955332017920416,0.10024861651495157,0.534549084014021,4
58,500,4.0,5,0.7,balanced_subsample,0.11937160161026925,0.10116569286077842,0.5448301930527262,4
33,300,8.0,5,0.7,balanced,0.11924536838181428,0.09408439449737802,0.5516560506436868,4
56,500,4.0,3,0.7,balanced_subsample,0.11923690913493187,0.10213491866461552,0.5458826393059154,4
60,500,4.0,10,0.7,balanced_subsample,0.11907962535573402,0.10058082896603887,0.540961182395823,4
86,500,,3,sqrt,balanced_subsample,0.1190666729682553,0.10444727527628174,0.5381672508393495,4
83,300,8.0,10,0.7,balanced_subsample,0.11888189995750155,0.100134600530092,0.5280534559170479,4
8,500,4.0,3,0.7,balanced,0.11843482181672799,0.10124412612099493,0.5435390326690847,4
10,500,4.0,5,0.7,balanced,0.11833799933745126,0.10040741769767646,0.5404767943831275,4
57,300,4.0,5,0.7,balanced_subsample,0.11828217818032144,0.10180360112568516,0.5464894921868242,4
12,500,4.0,10,0.7,balanced,0.1182319816414091,0.10066403421710139,0.538008945413096,4
55,300,4.0,3,0.7,balanced_subsample,0.11820956869819065,0.10372429299932694,0.5436741962812089,4
11,300,4.0,10,0.7,balanced,0.11804378861840628,0.10112413457210613,0.5423796337136045,4
9,300,4.0,5,0.7,balanced,0.11803658144666493,0.10258884195760465,0.5442108421060166,4
7,300,4.0,3,0.7,balanced,0.11791577462010616,0.1032254656715425,0.5440655119426566,4
87,300,,5,sqrt,balanced_subsample,0.1178288402722506,0.10568188396802522,0.5308911794308032,4
80,500,8.0,3,0.7,balanced_subsample,0.11767581200214186,0.09707630667700805,0.543274113212835,4
81,300,8.0,5,0.7,balanced_subsample,0.11725289540777442,0.0986881523955278,0.5398952454527278,4
35,300,8.0,10,0.7,balanced,0.11695511816780803,0.1030066858196073,0.5289092228170122,4
79,300,8.0,3,0.7,balanced_subsample,0.11641443392974693,0.09479880560179087,0.5460770910677325,4
44,500,,3,0.7,balanced,0.11595252287304081,0.1035274263104139,0.5320657979671372,4
36,500,8.0,10,0.7,balanced,0.11564285372907392,0.10500569270066566,0.5206708886863795,4
43,300,,3,0.7,balanced,0.11550506760321602,0.1038780762544507,0.5254807951025363,4
84,500,8.0,10,0.7,balanced_subsample,0.11535741400858,0.10367770861705432,0.5184841854105717,4
93,300,,5,0.7,balanced_subsample,0.11484254024566204,0.10089602459644653,0.5170904330553105,4
94,500,,5,0.7,balanced_subsample,0.1145894882465366,0.10077376518054404,0.5233002719668223,4
46,500,,5,0.7,balanced,0.11405385539894883,0.10025806609182632,0.5271031299876867,4
48,500,,10,0.7,balanced,0.11393851876872389,0.10650015178256919,0.5118280427721464,4
47,300,,10,0.7,balanced,0.11385264782622355,0.10517934619784722,0.510954889225232,4
92,500,,3,0.7,balanced_subsample,0.11325807858221304,0.103751188957839,0.5174909226321868,4
95,300,,10,0.7,balanced_subsample,0.1130294597237606,0.1041919336303801,0.5072218700274173,4
45,300,,5,0.7,balanced,0.11243039660579145,0.09968747915586533,0.5188030431287501,4
91,300,,3,0.7,balanced_subsample,0.11236374046641416,0.10242502229304279,0.5054808454805865,4
96,500,,10,0.7,balanced_subsample,0.11225512633586121,0.10643320609627106,0.5007557745618663,4
