Combination,Fold,CV_PR_AUC,CV_ROC_AUC,model__class_weight,model__max_depth,model__max_features,model__min_samples_leaf,model__n_estimators
49,4,0.13396880919917664,0.6729848283633144,balanced_subsample,4.0,sqrt,3,300
50,1,0.26705315919027195,0.6001701629842333,balanced_subsample,4.0,sqrt,3,500
50,2,0.09122709405993751,0.5049038912330052,balanced_subsample,4.0,sqrt,3,500
50,3,0.07280855631697529,0.5740868939163182,balanced_subsample,4.0,sqrt,3,500
50,4,0.1571075303260983,0.6745140649523119,balanced_subsample,4.0,sqrt,3,500
51,1,0.2776305635194887,0.6134286955057475,balanced_subsample,4.0,sqrt,5,300
51,2,0.09145552418245431,0.5073980309423347,balanced_subsample,4.0,sqrt,5,300
51,3,0.06990139770589754,0.5566970343089745,balanced_subsample,4.0,sqrt,5,300
51,4,0.14065688599805162,0.6698056259809249,balanced_subsample,4.0,sqrt,5,300
52,1,0.2754365817767956,0.6119840826708498,balanced_subsample,4.0,sqrt,5,500
52,2,0.0918215145290398,0.5076043131739334,balanced_subsample,4.0,sqrt,5,500
52,3,0.07141651087462499,0.5671087973859829,balanced_subsample,4.0,sqrt,5,500
52,4,0.14491726879382377,0.6681556601875327,balanced_subsample,4.0,sqrt,5,500
53,1,0.276653402612043,0.6114434606896919,balanced_subsample,4.0,sqrt,10,300
53,2,0.09225467353451353,0.5098546647913738,balanced_subsample,4.0,sqrt,10,300
53,3,0.0726662839734526,0.5721485337690029,balanced_subsample,4.0,sqrt,10,300
53,4,0.13946474382124918,0.6637691657611977,balanced_subsample,4.0,sqrt,10,300
54,1,0.2797897508985744,0.617478929036718,balanced_subsample,4.0,sqrt,10,500
54,2,0.09254939760664116,0.5104547585560244,balanced_subsample,4.0,sqrt,10,500
54,3,0.07348447993941778,0.575969872345139,balanced_subsample,4.0,sqrt,10,500
54,4,0.12120265906765747,0.6574510040645498,balanced_subsample,4.0,sqrt,10,500
55,1,0.2728610913024265,0.6039988301294834,balanced_subsample,4.0,0.7,3,300
55,2,0.08247428559305317,0.4601218940459447,balanced_subsample,4.0,0.7,3,300
55,3,0.05634864184918379,0.4817378783263645,balanced_subsample,4.0,0.7,3,300
55,4,0.06115425604809914,0.6288381826230431,balanced_subsample,4.0,0.7,3,300
56,1,0.27147687636150275,0.6014109347442681,balanced_subsample,4.0,0.7,3,500
56,2,0.08393461203058528,0.4703609939052977,balanced_subsample,4.0,0.7,3,500
56,3,0.05663553955582222,0.482236313792817,balanced_subsample,4.0,0.7,3,500
56,4,0.06490060859181726,0.629522314781279,balanced_subsample,4.0,0.7,3,500
57,1,0.2699416026385454,0.5996206783476465,balanced_subsample,4.0,0.7,5,300
57,2,0.0841409874152327,0.4708298171589311,balanced_subsample,4.0,0.7,5,300
57,3,0.0563254022339009,0.480713316534212,balanced_subsample,4.0,0.7,5,300
57,4,0.06272072043360681,0.6347941567065072,balanced_subsample,4.0,0.7,5,300
58,1,0.27015857975656365,0.5982159474621785,balanced_subsample,4.0,0.7,5,500
58,2,0.08404523752211471,0.47004219409282705,balanced_subsample,4.0,0.7,5,500
58,3,0.05648131597258149,0.48013180849001746,balanced_subsample,4.0,0.7,5,500
58,4,0.06680127318981714,0.6309308221658818,balanced_subsample,4.0,0.7,5,500
59,1,0.27001648781281445,0.5990667623833453,balanced_subsample,4.0,0.7,10,300
59,2,0.08149747027360076,0.456221284575715,balanced_subsample,4.0,0.7,10,300
59,3,0.05707444449107847,0.4852269265915321,balanced_subsample,4.0,0.7,10,300
59,4,0.07023641392372425,0.6407501307899715,balanced_subsample,4.0,0.7,10,300
60,1,0.2691708903554113,0.5966295321404199,balanced_subsample,4.0,0.7,10,500
60,2,0.08187196109298317,0.4595968120018753,balanced_subsample,4.0,0.7,10,500
60,3,0.056877716493204084,0.48195940520034336,balanced_subsample,4.0,0.7,10,500
60,4,0.06839793348133749,0.6256589802406536,balanced_subsample,4.0,0.7,10,500
61,1,0.25987622668848187,0.5804153040333945,balanced_subsample,6.0,sqrt,3,300
61,2,0.09235852766195295,0.5064228785747773,balanced_subsample,6.0,sqrt,3,300
61,3,0.06985633032049703,0.5610444992108106,balanced_subsample,6.0,sqrt,3,300
61,4,0.0993882595643028,0.6200249507022415,balanced_subsample,6.0,sqrt,3,300
62,1,0.26318825227607484,0.5852011379649571,balanced_subsample,6.0,sqrt,3,500
62,2,0.09287688812605274,0.5110923581809658,balanced_subsample,6.0,sqrt,3,500
62,3,0.07004793183203532,0.5737822944645973,balanced_subsample,6.0,sqrt,3,500
62,4,0.09871946330924206,0.5974083464123305,balanced_subsample,6.0,sqrt,3,500
63,1,0.27187718796490035,0.6054079923426656,balanced_subsample,6.0,sqrt,5,300
63,2,0.09262137069669704,0.5064603844350679,balanced_subsample,6.0,sqrt,5,300
63,3,0.0729549296664595,0.5929720599230195,balanced_subsample,6.0,sqrt,5,300
63,4,0.09544009843279283,0.6011911948166928,balanced_subsample,6.0,sqrt,5,300
64,1,0.2744408817426509,0.6089441918587647,balanced_subsample,6.0,sqrt,5,500
64,2,0.09198445426646024,0.5051289263947492,balanced_subsample,6.0,sqrt,5,500
64,3,0.0695229327055958,0.5715947165840556,balanced_subsample,6.0,sqrt,5,500
64,4,0.0840711851433084,0.5864622318805586,balanced_subsample,6.0,sqrt,5,500
65,1,0.2795098447401079,0.6148644456852161,balanced_subsample,6.0,sqrt,10,300
65,2,0.09320316211109003,0.5094421003281763,balanced_subsample,6.0,sqrt,10,300
65,3,0.07421407323195016,0.5889845761913992,balanced_subsample,6.0,sqrt,10,300
65,4,0.08291046581687127,0.5888768159684494,balanced_subsample,6.0,sqrt,10,300
66,1,0.2812070524503492,0.6182942933361694,balanced_subsample,6.0,sqrt,10,500
66,2,0.09058294029505218,0.49888420065635253,balanced_subsample,6.0,sqrt,10,500
66,3,0.07250766344459532,0.5837510037936477,balanced_subsample,6.0,sqrt,10,500
66,4,0.08495691036716228,0.5804257716608314,balanced_subsample,6.0,sqrt,10,500
67,1,0.27150949188062873,0.5996605602970762,balanced_subsample,6.0,0.7,3,300
67,2,0.08252391742374793,0.46021565869667136,balanced_subsample,6.0,0.7,3,300
67,3,0.06680714418257364,0.5623736604546838,balanced_subsample,6.0,0.7,3,300
67,4,0.06340380339897157,0.6094812668517848,balanced_subsample,6.0,0.7,3,300
68,1,0.2747339401890476,0.6026118245548732,balanced_subsample,6.0,0.7,3,500
68,2,0.08357594060125356,0.4652977027660572,balanced_subsample,6.0,0.7,3,500
68,3,0.06373393361151021,0.5375903414282945,balanced_subsample,6.0,0.7,3,500
68,4,0.07323792776194477,0.6146726226407502,balanced_subsample,6.0,0.7,3,500
69,1,0.2714326649818121,0.600848156124538,balanced_subsample,6.0,0.7,5,300
69,2,0.08264822240941185,0.45850914205344584,balanced_subsample,6.0,0.7,5,300
69,3,0.061953894546432395,0.5218896242350399,balanced_subsample,6.0,0.7,5,300
69,4,0.06787607781087882,0.5966034850497002,balanced_subsample,6.0,0.7,5,300
70,1,0.271535153610099,0.5986945308553349,balanced_subsample,6.0,0.7,5,500
70,2,0.08339317995757867,0.4647726207219879,balanced_subsample,6.0,0.7,5,500
70,3,0.06142529220563594,0.5162683798078254,balanced_subsample,6.0,0.7,5,500
70,4,0.07394084934681898,0.5987363676606705,balanced_subsample,6.0,0.7,5,500
71,1,0.26944017247155866,0.5962794572509815,balanced_subsample,6.0,0.7,10,300
71,2,0.0803357740531617,0.4474824191279887,balanced_subsample,6.0,0.7,10,300
71,3,0.060945804315496815,0.5091795198405007,balanced_subsample,6.0,0.7,10,300
71,4,0.06749152987659944,0.5852549398366133,balanced_subsample,6.0,0.7,10,300
72,1,0.2701497241731582,0.597289799969867,balanced_subsample,6.0,0.7,10,500
72,2,0.08075579092726351,0.45136427566807313,balanced_subsample,6.0,0.7,10,500
72,3,0.05983775347505503,0.4973555229418769,balanced_subsample,6.0,0.7,10,500
72,4,0.07106877121475366,0.5795404241619382,balanced_subsample,6.0,0.7,10,500
